Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
42,drone_9,10.138,10.141,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_0,11.032,10.195,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_1,10.644,11.731,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_2,7.489,19.273,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_3,9.500,9.503,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_4,7.222,18.430,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_5,8.254,19.491,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_6,11.940,11.768,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_7,10.023,11.698,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
43,drone_8,12.182,14.797,12.440,17.082,"7.641681349205131,14.809517556563144,2.4821839475563316;7.300599028985965,0.8557442913084073,0.8257722712644766;7.638690271768767,12.119870275603692,0.7850062547950781;15.020130495218199,2.5059954310463235,0.2615251245871561;9.242815026017428,18.410978632293972,0.9814697236754961;19.022760135321846,3.7816773554542067,0.34956963424157506;18.36681639233207,5.822643790387076,0.2690929264694909;15.171360882614898,10.020700909101887,0.45984627700022324;4.197535978072734,16.576168762469454,0.327825590901036;3.0810087463247546,17.434101371415114,0.30169455706944415;18.104680761846076,17.778899667971878,0.7589772009883671;17.35310914401929,12.311655258729042,0.27036712454746353;5.2834958291452665,5.4088643507758185,1.2137998113739568;8.643467953118163,6.8580813424452165,0.20132673661558442;17.99966396175798,13.876246901878897,0.6437227660674708;18.257416977488695,15.335610078434618,0.438790992030329;2.593083411210643,11.181282993151722,0.25997019801127863;8.357511137112164,0.9834311797301113,0.35361387899207686;17.107467591421955,8.86388545029082,0.28487266222437985;6.302780634738829,4.730957882342219,0.33099094071251867;14.42179028969229,4.62360100646694,0.39219397477714735;1.5069209193133286,14.611279786388579,0.9110008437658289;17.50513699759485,4.0804031767040225,1.382386226602899;17.881389239481198,9.065627116205041,0.20829311617930865;16.267890088248983,19.04133580534677,0.21273683761120457;11.397448949584088,2.7216693157195118,0.24675187449645972;14.730282852589564,6.829867982012328,0.3756731818230916;5.102983843261339,10.058647115325494,1.2636096880210619;17.096877922064028,19.773876165604015,0.21796684052917442;18.86058670632454,3.3343476196882675,0.8153134217155635;13.687181663483335,0.8558241161586086,0.4886062700805588;16.958697270422974,8.707107876036215,2.3109278311732746;15.367436023189978,2.2419282745404914,1.3891475951433545;4.617677601004125,8.007854449584505,0.4732520725234466;10.351419550151396,4.603077323045332,0.23205693660737958;13.771696995566142,10.415850164359119,0.2237111772911778;2.4677949659453238,4.293856954731298,2.1922302108194356;12.75545724287916,5.544366539702858,0.7023566540759729;17.070429450697123,16.579126764671077,2.0386579549783006;18.88648570800421,16.807133395794974,0.8866879984191057;6.272587029461807,8.105280757110947,1.1213251975400205;9.799457315096385,15.446416668978298,0.26843033284867046;16.07933141427518,8.04157338672891,0.36953784646855103;14.403564519229736,5.35145935254688,0.22839267904133978;3.167858499998802,12.956167126025441,0.2539240647069844;2.4044766675645177,2.1413245959435083,0.41156431820387473;14.360140815912965,9.12015316381008,1.9288663609061043;13.331973292058509,1.1641036048903117,1.1121770940357383;16.765094527907557,9.022564841846282,0.47704236124526944;6.5963745232142905,11.235390283526225,0.410026511270105;14.729005538454741,1.6092387118556353,0.6422916181837857;16.559774580282753,2.7621249305982745,0.4281324659921425;18.00431033614037,8.626596182866695,1.6720059302749215"
