Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
42,drone_7,13.393,7.062,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
42,drone_8,14.145,7.549,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
42,drone_9,8.199,7.202,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_0,14.887,7.856,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_1,11.394,7.036,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_2,12.850,7.763,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_3,10.400,6.946,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_4,12.272,7.418,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_5,10.287,7.575,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_6,11.100,8.045,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_7,13.277,6.970,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_8,13.975,7.519,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
43,drone_9,8.009,7.141,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
44,drone_0,14.836,7.921,6.569,7.332,"14.276576061401997,12.826741371890202,0.23786339677056587;18.16887710027502,9.049594143219673,0.4423385959798888;12.32805187579152,10.597975163996905,0.3645874151605986;19.193610534278776,17.48448094605852,0.30633350977264906;7.796624413306177,13.618729871172027,1.761699173717665;7.199905628975518,16.676024992088646,0.6467793421339153;3.2594600687870146,16.592587313090412,0.3811875015785374;11.51061170737576,2.536064235063481,0.9337929733672412;8.450394812789472,16.45975647229937,1.3217425340257862;4.608730101424916,10.446970440206684,0.8300593524870645;14.891834197701721,6.124678248250912,0.7916316319929064;11.309980835937552,2.121818126378974,1.3913949272598285;14.631574160772217,13.584440823602842,0.4964573766194233;12.361434045782678,12.052061773196309,2.26190958211765;15.795531352521614,1.2783998856502232,0.34006708749932335;17.30706232762975,13.714202166310232,0.32520571024949935;14.460224616915038,12.795541714642695,1.1220305000507507;15.556946857954468,10.37938497969437,0.4121733142730417;11.266716210020661,0.7129322715809643,0.2918049016941912;7.9154198206730655,15.954444092233427,0.3839064635411189;9.717022921631763,12.877234467420214,0.9760008014865799;12.068332430136735,4.370312281418411,1.9444331872613878;14.793410190770215,4.006773081952084,1.9618669748425988;16.586676333375813,3.639457092040161,0.3311028819594918;7.103606127558244,18.10373786121194,0.6550271662337985;14.680144372593626,18.285670913564907,1.111318006039156;5.741828522519157,10.154520666048924,0.3578345636443312;17.90225946069581,3.5869647112199665,0.35835311184663016;0.815387706619351,5.097462268501661,0.35832519967642884;13.231109314923629,10.138897552151784,1.9455166127219015;4.112662284524984,16.054651528608797,0.44645915930279834;14.597405020103913,15.72656665672648,1.1429159066270271;13.877957174612845,12.60777180923654,0.32295471207615767;8.405839881924228,17.82551495119347,1.16973508368929;17.220029956211103,8.036188853361974,0.365372578188943;10.695085163384094,18.407229390777992,1.2222842199317285;15.458813880335398,14.116298344161983,1.503357142473887"
