Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
7,drone_1,7.339,3.552,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_2,3.349,17.168,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_3,10.816,13.828,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_4,7.679,2.766,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_5,4.879,8.609,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_6,6.262,12.023,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_7,4.613,15.169,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_8,5.502,6.185,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
7,drone_9,9.271,15.465,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_0,4.714,2.824,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_1,7.484,3.644,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_2,3.468,17.007,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_3,10.839,13.629,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_4,7.803,2.885,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_5,5.010,8.458,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_6,6.369,11.923,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_7,4.754,15.028,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_8,5.697,6.230,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
8,drone_9,9.423,15.335,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
9,drone_0,4.855,2.966,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
9,drone_1,7.620,3.750,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
9,drone_2,3.596,16.853,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
9,drone_3,10.915,13.444,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
9,drone_4,7.926,3.005,13.690,6.912,"10.171678411227688,9.24084208288991,0.23857304947804558;11.39148106883152,9.41887149265863,0.3097870303043951;14.997615133441942,14.80871564162503,0.36633904506865395;6.0067104179979305,16.080298949508432,0.9555136127871512;3.81873509807315,12.321802760312568,0.3261474232368303;5.566174691018221,3.548244270013654,0.2686873143971609;8.252914574526926,12.391846504822109,1.2777722158631333;2.6317544193714113,19.136026435394164,0.3763398466651411;19.563245061052427,5.751345881650863,0.4261087924114465;15.056995309248707,2.752510887782562,1.2107943615838586;6.888426461699543,9.776857632436649,1.6187718458820965;11.143013965346416,16.003854987960384,0.6542755541875588;5.450374749936235,13.339702033065034,0.41585680753862153;2.462978193415802,12.613723782640472,0.9242100771043952;12.773439271946485,14.301884158866267,0.3414810818788411;11.562593310501244,17.071029303191654,1.3636353406365926;14.082087876183207,13.837846779195612,2.475084158616607;4.238262278519754,17.926351884564873,0.4768718296990408;2.4984712449424085,8.178168600248133,1.0014559220459682;8.315374166077014,14.49017482793983,0.7522773371797362;9.501360253205444,8.452916828355885,2.3802012326539232;16.948336065358863,17.688592423771418,2.197129754089154"
