Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
29,drone_8,10.053,7.758,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
29,drone_9,8.878,12.758,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_0,10.061,11.041,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_1,10.748,7.459,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_2,8.924,11.178,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_3,9.931,8.926,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_4,9.382,10.349,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_5,11.156,10.538,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_6,10.449,9.593,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_7,9.711,13.149,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_8,10.015,7.590,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
30,drone_9,8.741,12.654,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_0,10.101,10.874,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_1,10.714,7.290,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_2,8.937,11.007,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_3,9.976,8.760,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_4,9.355,10.203,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_5,11.191,10.341,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
31,drone_6,10.487,9.425,11.666,5.383,"17.0975059561462,9.82478771923082,2.313550012286287;3.6201401623533527,1.1925896821295656,0.40716602959559234;9.688633551264159,17.657566602657766,0.32813813588728286;7.807077780149278,14.603815329400314,0.31570023524335633;13.470878781644501,18.63196459105296,0.27240278933772477;13.187415462493986,10.279867840773699,0.28697269606516007;12.43241349306303,19.529829648338556,0.4029844548324004;12.82021288396587,8.406331033087138,0.8612051935272784;14.744119211120971,5.550461534567124,0.35152907766186486;6.3205964865009925,8.959733994430472,1.9205789150801928;0.9434185564263717,3.1878547890833544,0.7380039818607042;3.1954599876491723,19.53626497391085,0.2724180376185633;10.797943281174707,12.500502735133518,0.43953685141589416;12.658740498175943,12.512912043584276,0.8383261770089679;4.165462752591237,7.748486028138374,0.42781355628438805;5.069049414947061,3.375218215215874,2.1710991084362665;6.627871287820976,17.58888793705562,0.6680321959050733;9.376319219408945,15.690575729831867,1.1080791944899837;17.337140844781946,3.282507763574693,0.4934241993410383;1.7557729283189611,15.1738558725876,0.38797022119408664;17.485808064374826,12.56827374726404,0.6448518588940263;1.0726191932095204,7.8726051972030024,1.0618032058031759;12.727930272203464,18.557365019043267,0.37643405847080136;4.235794531256178,4.503012920529866,1.0387535755903972;2.350897418154536,8.816927243442382,0.718700258377229;9.372255837964499,12.058535929624647,0.2224216160242692;13.899710595845367,13.448956300689895,0.8631257344600919;14.235856687715973,16.18113456906232,2.0881206135539263"
