Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
57,drone_2,6.917,6.460,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_3,5.396,3.906,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_4,6.635,5.277,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_5,11.502,1.974,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_6,9.816,0.821,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_7,9.172,7.247,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_8,12.180,3.864,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
57,drone_9,7.198,5.699,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_0,10.904,5.463,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_1,5.421,4.497,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_2,7.028,6.591,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_3,5.412,4.077,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_4,6.791,5.349,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_5,11.684,2.056,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
58,drone_6,9.990,0.919,13.774,3.068,"18.429060883728358,9.124928834070776,0.23839738127417978;14.701475491846619,15.895095865548287,0.322745253094712;14.189587647683501,6.544772964034995,0.4950125371862678;6.430190606973251,13.819420166319773,1.320650358995442;5.13682325426462,9.912161370910814,0.22711526412898278;5.888074474193669,7.241171701556021,0.4488415095083038;4.2949105204739295,13.729478584764372,0.25319663363181605;15.275345481965875,18.609357289846912,0.621643893293381;14.716632537882726,14.269099232072545,0.2505300228368073;18.35082121126258,15.957823662409384,1.1280117387968738;2.502902419664365,15.542668821887775,0.6276245041058363;2.07002462413627,7.847912082331754,0.3651854270469792;18.78920839243999,14.298141560344504,0.4978786131482229;6.066276935311647,11.263862008564988,0.8140960708901198;17.010596514399822,7.658963960083904,0.3672780984119508;5.925711877765733,19.445405046433827,0.2059785138347199;5.120446679276979,5.605539298272333,0.6307901676178939;6.044787696501507,8.331316426804129,0.929070220311973;18.521220245698615,3.802440845135483,0.4617850858722772;8.156839996463095,6.2036963984325375,0.7254077182060703;15.467019293907663,15.805206884498153,1.0160983762316904;6.49502456060024,7.909073231637253,0.304325360323474;7.797812860683897,2.9084139480443523,2.1421947750217996;6.493667375641773,19.057361717509284,0.22140039192849775;5.147314165769152,8.320873879210039,1.3136972835680225;4.0956309498365195,11.763250452489316,0.3083357225839079;1.0430412619792802,4.865922946452577,0.645211888056294;12.127353236523327,7.245769938887504,1.6525231255648012;6.250571977869235,19.163857201933194,0.29333052999380244;2.944442114597854,16.785420080510836,0.4216340939322952;14.615212766364966,10.40745350379626,1.969254930842908;3.828961604510755,6.531927628605906,0.7795803443812266;10.868935963271873,3.757828660992437,0.2791781847738424;16.645967395944293,9.278803503203077,0.48875128751866803;6.744085892513859,16.10137967509108,2.0872902899567984"
