Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,12.0751,1.3111,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_1,10.9357,1.4561,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_2,10.4322,1.2795,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_3,10.8060,2.4615,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_4,11.1848,2.3189,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_5,10.8360,0.8219,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_6,10.8859,2.8609,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_7,12.0121,1.9532,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_8,10.0635,3.1628,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
1,drone_9,10.3545,0.8859,11.7627,16.1780,"19.412,16.107,1.046;2.941,4.225,0.444;2.339,13.492,0.401;6.787,14.665,0.461;18.440,7.490,0.670;14.613,5.643,0.374;17.197,13.633,2.132;8.780,11.896,0.874;7.734,6.413,2.183;4.022,3.544,0.500;18.845,5.846,1.368;17.147,2.936,1.819;15.140,12.114,1.154;3.539,5.061,1.139;14.890,11.651,0.800;0.899,9.100,0.461;9.329,9.301,1.215;13.961,10.469,0.217;5.133,2.131,0.376;17.898,8.281,1.703;16.124,11.998,1.769;1.739,7.087,0.758;17.330,3.911,1.758;8.504,18.176,0.427;2.811,16.649,0.384;9.387,8.034,1.590;6.152,13.091,1.205;8.471,19.260,1.066;2.135,8.597,1.906;2.266,15.479,1.133;16.949,16.530,0.729;3.654,18.610,0.754;19.391,14.139,1.123;5.696,14.672,0.287;1.185,10.950,0.922;0.172,8.712,0.212;12.257,4.670,0.388;9.333,6.981,2.247;16.469,8.347,0.390;16.034,3.082,1.399;15.267,15.817,0.341;16.616,8.274,0.680;2.760,9.759,1.256;3.327,8.393,1.170;11.988,6.872,0.875;6.423,19.040,0.337;15.281,13.474,0.395;1.178,5.193,1.279;12.123,10.113,0.856;9.034,13.211,0.438;11.038,4.734,0.259;1.566,5.554,1.165;17.653,7.744,1.206;2.742,14.522,2.148"
