Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_9,16.7044,9.0813,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_0,17.3895,8.1433,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_1,18.0450,8.0188,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_2,17.4891,10.1391,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_3,16.1239,9.8864,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_4,16.8160,9.9709,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_5,18.2730,9.6775,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_6,18.4900,9.0983,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_7,16.1685,8.1760,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_8,16.7385,10.8134,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
3,drone_9,16.8077,9.1194,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_0,17.5311,8.1906,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_1,18.2087,8.0490,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_2,17.6174,10.2216,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_3,16.2526,9.9701,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_4,16.9335,10.0548,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_5,18.4219,9.7335,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_6,18.6379,9.1337,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
4,drone_7,16.3229,8.2250,6.1088,2.6003,"13.089,1.861,0.202;18.308,5.129,0.719;6.272,12.666,0.318;18.793,18.734,0.219;16.523,4.004,0.855;13.884,2.512,0.691;14.462,4.252,1.344;2.497,5.990,0.880;17.991,16.664,2.375;7.823,11.418,1.343;4.699,16.040,0.871;0.749,2.144,0.289;11.250,10.130,0.473;1.034,0.957,0.442;10.155,15.548,0.471;5.199,7.673,0.926;9.419,13.870,0.210;17.115,4.440,1.028;10.784,7.887,1.892;18.013,14.303,0.604;4.904,6.234,0.452;12.931,5.944,0.230;11.713,16.049,2.368;5.433,10.070,1.288;4.008,4.592,0.206;18.047,19.459,0.700;4.617,11.463,1.012;3.998,18.930,1.503;5.552,18.825,1.928;6.624,10.356,0.323;14.728,3.097,0.441;14.369,13.172,0.751;3.425,15.686,0.219;3.236,10.113,0.668;12.763,9.801,0.387;12.200,13.120,0.271;8.766,1.738,0.492;1.194,13.247,0.267;1.480,16.380,0.354;9.297,16.977,1.367;2.965,1.420,0.683;1.670,15.580,0.420;12.265,11.469,1.534;2.919,7.405,0.716;11.097,14.056,1.324;4.262,10.379,0.316;14.456,5.813,0.743;7.305,12.602,0.391;3.888,14.361,0.886;3.115,16.229,0.392;6.713,9.881,0.239;14.173,14.711,0.405;17.770,14.472,0.938;15.748,12.111,0.396;9.485,13.599,2.368;12.919,2.125,0.629;9.315,1.636,0.289;5.000,17.356,2.471"
