Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
28,drone_6,10.779,8.705,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
28,drone_7,11.764,7.681,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
28,drone_8,13.132,8.778,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
28,drone_9,15.362,4.615,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_0,13.469,5.427,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_1,12.477,6.890,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_2,10.621,10.492,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_3,11.371,10.023,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_4,13.940,5.918,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_5,11.067,7.750,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_6,10.897,8.580,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_7,11.885,7.559,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
29,drone_8,13.273,8.637,16.427,4.261,"4.879997310516243,9.665367478988978,1.3015152003159167;1.9435155662269885,3.690121241051926,1.1079226363441559;9.550340427018975,13.22524112831046,0.9658371037642131;8.705623691334342,9.978922651240284,0.6731777267790904;9.819009696316849,15.216385677021087,1.060113179425215;1.701720637194153,14.616015532072419,0.3908860383444498;6.990421447713551,19.716664004999686,0.21634500343370364;5.752753111478246,10.35945814779374,0.45608690308893046;9.506501583242045,1.0077788473183436,0.7291293640945957;7.80076972794392,11.56650082745532,0.27642032964585517;2.910647258407886,11.044412548972778,1.252497074296834;9.858553503292832,4.066545798561284,0.2005780719701635;19.451926381622375,16.197195184967317,0.20052346711000282;9.730767117611691,6.327233636093498,0.8268562956828847;5.1972357937241584,10.977823576535462,0.900580924344321;7.621856899729445,12.225739081616428,0.4341221502607234;6.6347866412881755,2.5217415868690543,0.21443725844347417;3.18029986202681,7.345204423006692,0.26987953968753464;8.813012143515438,5.830827781410468,0.6728827322668246;5.337110500196958,1.376540183113154,1.3698880475654351;7.995075014234129,7.621211532804489,0.45802808005908685;6.905237443071193,16.940749867674356,0.337564642370091;4.873054993051603,0.960684789650673,0.9426256378213149;1.2599942206431822,14.643571514640719,0.2845279515748753;4.04685428183163,8.440712212108409,1.7723150745353369;12.319338267096127,15.959609871617594,0.9808089266988191;3.150915554049871,16.92772661177549,2.1798041182080823;13.329819537858295,11.317359727909153,1.2977826723194545;11.509452862452257,10.561968372570561,0.2554625874225005;9.225794391081655,13.95969599317704,2.079237794693122;11.38171024255901,9.355279500038089,0.43022723605685415;3.7351316326214503,12.270355444265839,1.1528501109137557;2.629271155628867,4.503817490998637,0.4370753719963511;7.454253688551676,8.613219572658746,1.9265297195240056;17.459440455827504,15.460210564166443,2.0185985767717693;18.017107317336897,14.32317409851603,0.2718743457184694;12.01712940621841,0.9196623763602105,0.7315863014491293;11.454566588747774,14.120899801800764,2.3995940942407463;5.765480554720319,3.0419325317825336,2.1200886156245007"
