Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
260,drone_8,12.375,8.826,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
260,drone_9,12.323,7.494,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_1,12.614,6.885,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_2,11.513,8.574,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_4,12.942,8.424,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_5,11.777,7.602,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_7,12.200,8.159,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_8,12.503,8.832,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
261,drone_9,12.342,7.386,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
262,drone_1,12.573,6.727,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
262,drone_2,11.494,8.575,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
262,drone_4,13.012,8.466,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
262,drone_5,11.841,7.736,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
262,drone_7,12.160,8.074,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
262,drone_8,12.530,8.939,4.686,11.351,"1.416736946940271,16.692007009864856,1.0570426144959915;14.328548119121063,10.692704671987544,1.9451990396429513;8.340596276432882,15.248177870721317,0.9897107367685531;0.7263517626129153,16.62283766431972,0.21863711919506668;5.727856505456157,18.921792003176627,0.8371511970537313;19.23482688839094,3.313772286609892,0.7058725977382734;19.485854155805566,17.24685792477836,0.47625887161499053;14.142178081420864,17.087867519825256,0.3529970447391998;9.485700810037416,18.80875153230323,0.9770557126034876;17.738415614937473,2.9631975656157747,0.6107961919843342;18.784914227794303,18.5964155231964,0.40678578344613614;14.178616834169404,3.1134670535759232,0.2956337168073306;17.572000052576055,11.783896316194644,0.46041010291349255;9.8976524351446,5.943906826922159,1.9931382541201839;15.795459279603378,11.345025892376928,0.28088927919208223;16.8203937744734,14.47695553940374,1.9090123652365993;18.8631701886908,7.214686504390884,0.8748645777233832;4.505670792101153,17.843662418629673,0.30604578645340447;17.484431897369532,12.50317249446316,0.3213316919461504;15.662952516069877,16.48747610514671,0.2639982558177811;11.657786057746367,12.266224665953885,1.24496419842004;3.4631255603430593,8.24742416336882,0.4467192275734967;2.4171933577627254,13.288393192734782,0.8530384054263696;6.202788829837626,15.827694975609468,1.3386599976362565;14.580428777018486,11.242230347753669,0.41791179626533415;8.715919579578046,14.386729165991829,0.46884945698662217;9.854934291107712,6.085860654046396,0.443979070451461;10.519649009263137,14.99178417288113,2.0725776319136116;8.575689202069087,9.011611639752282,2.3929736960852974;5.004914158541402,4.649307524379443,1.256350954978262;11.323391275290257,9.811728057944968,0.7204145226526876;8.28897188421717,14.716615922560063,0.462926019560122;11.010380146927504,1.5830792742320414,1.3292971387279962;8.336651122564943,3.856474916824823,1.5571801804149357"
