Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
57,drone_6,17.592,13.643,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
57,drone_7,3.997,16.059,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
57,drone_8,19.669,6.744,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
57,drone_9,17.366,3.403,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_0,17.016,15.130,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_1,9.500,6.725,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_3,9.940,7.312,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_4,17.575,11.641,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_5,17.317,9.526,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_6,17.651,13.834,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_7,4.193,16.016,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_8,19.697,6.742,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
58,drone_9,17.534,3.511,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
59,drone_0,17.158,15.271,17.714,15.819,"9.892725617503736,9.670021943227297,1.3337618945436835;6.888652368546656,16.433304575767963,1.8663287642002606;4.613437673335372,7.455476748438842,0.8293273912682212;4.125627663860747,12.721012627689639,1.1231096603298072;4.866355640881583,10.06168187271085,0.4507854420622304;3.017566854518656,7.26528533477327,0.6824137355844161;4.505075750707533,14.328832605430895,0.24715831368651536;12.022648038252711,5.6003706554999475,1.6623704767467757;5.750090561867649,8.39072323551736,1.3583521435944435;8.715002845376821,9.182969899403258,1.1217287480306148;0.28075011113768433,12.683970461928434,0.2654626134230007;10.984188095178656,16.439303907062012,1.7169301658463587;13.27231250553188,14.964091703288366,0.2008853166177088;1.853623753172723,11.316929568587604,1.32036364686012;15.754954641165117,3.8864008464550004,0.3823370506821664;11.76081790683031,9.213409978729818,2.0234347583426153;1.0641257993287598,17.039052656985593,0.27400869956949836;14.672666676751685,16.748967370121484,1.0609472404048168;13.825817810437247,6.001805112989641,1.9924527682831616;18.775673715939128,7.82282407908956,1.0408469730113257;1.8729887994877137,11.04214710809667,1.0002497200567961;5.446195493833805,5.17710324932782,0.22722331391858563;13.677295474587755,6.272828249477386,0.9164823697950816;15.376777347218551,8.658330630743006,0.7074113441943198;6.268787239379799,9.00119524357636,0.3959975400229587;5.701474896554139,14.704864007917108,0.2984530144901019;2.396275348896575,4.472038384722842,0.28280365789601514;13.565564735666632,1.9179480753997225,0.47078933547456947;4.792990862731144,1.542933311771236,1.0287295450314284;14.93754302214092,8.800930580939884,1.6309188185665293;16.468165946196063,5.172872761556972,1.3109719271090041;4.275751993866452,19.03401163850021,0.8678884775883917;2.37169655814953,14.529022423476096,1.2577114474882483;5.586566136516446,10.318861289051897,1.1736771847484992;0.9383198526029239,4.145801386378407,0.29705926268510013;3.2482866857335706,18.013790476423647,1.3293764508355645;2.831805513104361,18.466040467193686,1.2137658814890406;16.078312539007783,12.498382442824738,0.7402590738006367"
