Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
30,drone_2,6.231,7.254,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_3,10.019,13.123,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_4,4.738,13.971,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_5,8.969,12.052,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_6,3.918,14.062,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_7,12.783,9.180,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_8,13.263,8.332,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
30,drone_9,7.903,13.136,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_0,11.034,9.269,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_1,9.226,12.945,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_2,6.293,7.445,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_3,9.908,12.991,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_4,4.805,13.813,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_5,8.799,12.075,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_6,4.038,13.938,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_7,12.783,9.007,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_8,13.093,8.363,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
31,drone_9,7.762,12.994,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
32,drone_0,10.887,9.406,6.401,11.317,"4.200312853263059,7.030479505455977,0.3877388358949889;18.645566490279073,15.196523621584207,1.1124068271910688;16.17499506071879,4.676704848902934,0.6459887858310822;3.7706924049250237,1.8928053400008737,1.094580114283201;5.666693855531942,15.041180262209176,0.21330240634560146;15.889337892259695,14.622843158676321,0.28310440346571997;18.293592329860854,1.7447216757493207,0.825456507872009;12.054622523874091,8.15286532952333,0.30691945192932646;5.824710692280366,16.89121866051212,1.3398064976786734;18.25219272356081,18.78747888245055,0.34705006727566684;12.123869926341875,10.664484295539197,0.44215553802343227;13.211250547695064,6.274478832684509,1.216186166712168;14.078074824012695,11.77123657895504,1.8802204607424682;1.116307526018822,3.437393238939312,1.1004671881156596;2.182723779284098,9.939317397921647,0.46645165183222104;7.025499578172252,16.147276084607853,0.6514801497684665;16.35330646378491,17.43291568719153,1.7514121867377388;16.70436350265009,2.540829392339649,0.9860657471722432;2.7109090973012453,6.42078849172781,2.327538721253572;8.834876268380466,2.9113414033825933,1.915512433194312;2.0678370987031327,4.677752433124997,1.5715546335023993;11.672511306329687,5.886492517957468,0.8468470933202288;3.3105234800636287,6.734031254905256,0.6417431866577781;12.083742495075368,3.972532556073906,0.6690198333522286;1.6586931353544734,12.29781893611314,0.8987781593422141;12.206453072480516,9.328918365734332,0.26744589018493015;6.64533168172354,16.66573508939521,2.422990568560393"
