Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
11,drone_6,3.322,12.407,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
11,drone_7,3.528,13.155,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
11,drone_8,2.168,13.412,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
11,drone_9,2.368,12.296,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_0,1.201,11.990,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_1,1.509,12.985,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_2,1.625,11.600,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_3,2.582,12.964,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_4,2.967,13.905,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_5,3.933,13.985,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_6,3.322,12.435,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_7,3.501,13.048,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_8,2.181,13.485,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
12,drone_9,2.248,12.270,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_0,1.095,11.855,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_1,1.512,12.813,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_2,1.526,11.490,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_3,2.588,12.875,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_4,3.059,13.804,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_5,3.781,13.903,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_6,3.222,12.363,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_7,3.575,13.042,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_8,2.093,13.458,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
13,drone_9,2.137,12.206,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
14,drone_0,0.982,11.725,6.134,3.222,"11.067250644182911,5.566874371619035,0.4492618942127409;3.607819084433512,0.9345905549400849,0.8758086311382268;11.846957578358458,9.638730833272353,0.48258836095177443;0.7611854980325101,14.13588451296295,0.39978600906555983;12.164401929113252,9.764020665972794,0.4871832158441818;18.16206799851973,12.164153216157228,1.2897970379223538;13.974128097833496,4.07597188808348,0.3449782885718649;4.856122970076906,9.650849491250938,0.306530521238342;5.853059891941154,12.898686791507572,1.5548287214481085;2.7986087985205192,4.887409054523087,0.754684103587259;18.04637001972934,12.899456565995054,0.9977020295192733;6.238993732685125,6.596468711914729,0.36454710756181746;9.726548152174702,7.188340390601497,0.31033284571122377;10.823492993254437,2.6929981110111516,2.1742445230639733;9.550566791734717,5.307044159660074,1.152483919786354;8.834697584199583,18.810076265120152,1.1356848265368318;7.9189614163614985,15.657156513692865,1.3423576065581841;3.43948506191215,10.288671523584203,1.6128350924054486;17.772261290775912,8.738223753029532,0.6809271931836922;3.282369541534739,8.810027907493032,1.9935113814345837;10.774520351869961,12.176821903042017,1.3052571566734168"
