Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_8,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
2,drone_9,15.1006,5.3949,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_1,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_2,16.0852,8.3640,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_3,3.9258,3.0892,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_4,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_5,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_6,14.9033,12.7021,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_7,17.3103,6.9505,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
3,drone_9,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
4,drone_2,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
4,drone_3,4.0673,2.9477,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
4,drone_6,-100.0000,-100.0000,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
4,drone_7,17.4517,6.8091,13.7326,7.7440,"3.999,15.404,1.345;8.283,12.618,0.367;14.508,15.668,0.322;7.128,2.851,2.465;17.154,15.404,0.686;10.270,10.667,0.823;8.646,2.919,2.361;9.741,11.023,2.225;12.547,10.126,0.628;15.969,10.060,1.136;17.104,4.980,2.015;12.022,2.889,1.099;1.207,19.100,0.306;11.851,2.497,1.102;2.451,4.994,0.386;8.106,8.915,0.241;18.513,8.086,0.796;9.250,12.115,1.374;14.019,1.217,1.713;2.579,9.565,1.297;4.752,2.317,1.167;3.793,18.381,1.944;5.257,10.919,0.311;3.931,13.598,0.993;12.156,17.688,0.800;4.907,5.770,1.018;11.195,11.484,1.131;10.812,10.795,1.351;14.473,16.578,2.281;7.301,1.302,1.188;18.435,6.963,0.415;10.620,6.807,0.849;16.503,17.974,0.400;5.498,0.849,1.300;15.802,3.929,0.368;6.050,12.214,0.999;12.900,19.354,0.218;10.255,4.973,2.056"
