Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_0,9.0216,2.2611,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_1,7.5942,3.1114,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_2,7.3063,4.3773,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_3,7.1133,3.9651,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_4,8.2515,3.6930,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_5,8.7712,4.6388,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_6,6.6131,3.3637,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_7,9.1650,3.3938,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_8,7.8292,3.6439,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
4,drone_9,9.1629,4.0213,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_0,8.9878,2.0640,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_1,7.4830,3.0001,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_2,7.1858,4.2568,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_3,6.9955,3.9392,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_4,8.1558,3.5837,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_5,8.6407,4.5082,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_6,6.5826,3.3331,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_7,9.0445,3.2733,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_8,7.7375,3.5313,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
5,drone_9,9.0516,3.9100,15.9166,12.7125,"4.834,16.466,1.214;13.733,14.035,0.201;1.490,3.835,0.438;6.666,11.749,0.246;14.571,8.091,0.231;12.552,11.607,0.814;12.415,8.548,0.253;11.620,11.939,0.487;17.162,16.054,0.396;2.598,1.976,1.049;5.867,18.274,1.239;12.921,6.856,0.462;4.912,15.909,0.921;1.296,12.049,0.686;7.542,12.966,0.350;1.363,9.530,0.944;8.209,16.791,0.875;13.364,5.568,1.050;8.320,10.093,0.398;1.224,3.800,0.203;6.376,11.340,0.295;15.729,16.908,1.504;6.242,19.812,0.347;11.619,7.171,0.332;3.299,19.078,0.465;8.263,9.452,0.404;7.283,16.444,0.339;1.878,8.744,0.469;1.931,16.493,1.296;1.672,14.095,1.142;14.542,19.116,0.898;5.286,1.068,1.355;4.876,6.280,0.868;17.691,3.328,2.236;6.773,9.431,0.490;12.276,17.528,2.349;2.205,18.387,0.949;7.958,10.283,0.700;18.439,5.584,0.366;13.836,7.269,1.233;4.693,17.515,0.883;5.574,14.953,1.507;7.318,13.262,0.289;4.189,16.608,0.863;12.736,10.261,0.488;1.592,19.441,0.239;10.475,9.767,0.233;6.485,15.352,1.165;11.680,18.559,2.134;5.750,8.973,1.764;1.315,18.397,1.394;17.358,19.403,0.812;9.625,18.370,2.361;13.535,9.753,1.696;13.451,7.652,2.342"
