Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
8,drone_7,12.524,13.933,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
8,drone_8,5.125,1.949,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
8,drone_9,2.155,4.535,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_0,11.931,12.128,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_1,9.078,5.734,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_2,11.686,8.726,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_3,3.462,12.185,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_4,12.668,10.496,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_5,7.882,7.380,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_6,8.692,5.159,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_7,12.525,13.733,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_8,5.255,1.797,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
9,drone_9,2.296,4.394,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_0,11.973,11.932,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_1,9.115,5.566,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_2,11.878,8.670,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_3,3.657,12.228,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_4,12.665,10.296,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_5,8.023,7.238,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_6,8.814,5.039,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_7,12.588,13.544,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_8,5.451,1.754,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
10,drone_9,2.438,4.252,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
11,drone_0,11.934,11.736,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
11,drone_1,9.193,5.413,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
11,drone_2,12.054,8.576,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
11,drone_3,3.854,12.191,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
11,drone_4,12.726,10.105,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
11,drone_5,8.165,7.097,16.160,2.482,"7.846965391022641,11.788268113530682,2.4424201367573612;3.8517835289184688,16.245432577061575,0.44980657465921653;4.4215756169122,6.594449046386391,2.133184591561209;11.606650594007315,6.12657564942563,1.8271879827596138;10.145734775878502,0.5497994803729318,0.3708358207134297;15.15715808999255,16.39781193982461,2.0434812249996677;16.59328380221386,15.110239311972109,1.9666256151112629;16.511224197001606,10.232638986482673,0.4785749255954178;16.815325319252356,10.243251965705277,1.9655228159030091;7.911636732342803,17.446741226312767,1.5096011539582572;9.912201635154615,16.49948428105448,0.40620421467906354;15.360718949309975,17.860929377035454,1.2784951285894792;6.4766108703236664,3.9457266132180995,1.6484076831697325;6.96760326400518,15.6079033690061,2.4029499296272885;16.76522657434701,19.2014174852355,0.3069083150510656;4.793803363548289,16.52414353136838,1.374183647082723;12.261006632139962,4.898742002805851,1.134320730782527;3.6146213206015845,9.690049274339652,1.7747879365124901"
