Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
28,drone_9,5.830,9.226,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_1,6.698,6.595,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_2,5.134,15.294,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_3,4.282,15.232,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_4,7.371,9.650,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_5,10.186,10.564,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_6,5.639,7.563,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_7,13.009,14.842,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_8,15.737,10.644,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
29,drone_9,6.011,9.311,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
30,drone_1,6.532,6.642,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
30,drone_2,5.301,15.336,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
30,drone_3,4.421,15.376,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
30,drone_4,7.553,9.733,14.117,12.694,"1.9544517687185774,17.189141247079935,0.7033089034470162;9.172551962749848,6.4815003044099475,1.3081324356680941;1.6047398156158583,15.312320171070127,1.1451222637566278;19.374234057653844,13.097510925163101,0.41583311994827216;0.8222026657639183,13.615481676903245,0.32218524755694833;2.3297362801016943,16.853745336665334,1.0352560425362802;14.929693034914832,19.278555760866503,0.2998083658376757;1.7763958928840444,3.2932864315659574,0.3245791305708574;13.959670405214085,8.165908851498015,0.3071772751515064;9.980897008689384,13.310552180699492,0.28044964701047514;9.138835850390171,5.474763369145651,1.21489210586247;7.003172678905252,8.183568027806457,0.9231405955772963;18.500033442139046,2.8264834787929534,0.23905213202497347;11.046785851612665,3.5977215310008885,0.7388513943077268;2.757429088928747,8.018762425832184,0.21309140071257612;7.5659929033673174,18.63241492706162,0.48451495751954893;14.751192219945374,18.053920024384375,1.2992868120323398;8.11303380813193,12.244409429572787,1.21420420034321;17.383722929544373,2.709075720961591,0.8858861819893522;5.8201967842930475,12.198610986164994,2.3275012054191464;18.16814102996343,2.967657883652084,1.3653303625376538;2.8601695320670366,6.2952959243369175,0.6050090809863828;8.66154008687559,16.320210463790286,1.247862198886545;14.087073627567385,5.251658186245189,2.3922279228959553;12.11412632695894,7.421595931624085,0.6392007048256992;16.365907775891795,1.9759128307953582,1.8615007354995627;9.727805435349719,6.489223128945964,1.9736557109420068;7.677680694701845,15.3583347039859,0.41126349949706487;6.066465313441148,18.093031834134493,1.7129820243627814;2.5680804744749217,17.468913106791067,0.3082919443985035;15.130883051283408,17.2003493117609,0.6214132089399828;4.714090717381355,4.506285549257371,1.8634048845722138;12.601084152887735,17.50886706829864,0.3158861210964759;15.23417499236406,6.850795398846321,0.285793695154738;12.207173896059071,17.835199606167155,0.2758559209427349;13.817585554789963,8.173615421921085,1.7087984417658664"
