Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
17,drone_4,10.740,14.533,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
17,drone_5,12.026,11.737,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
17,drone_6,11.477,13.584,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
17,drone_7,12.953,13.497,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
17,drone_8,12.813,12.573,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
17,drone_9,11.325,11.285,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_0,12.953,11.556,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_1,10.809,12.292,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_2,12.127,12.514,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_3,11.484,12.192,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_4,10.677,14.376,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_5,11.993,11.632,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_6,11.459,13.385,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_7,13.016,13.337,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_8,12.830,12.426,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
18,drone_9,11.412,11.165,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_0,12.988,11.412,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_1,10.727,12.140,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_2,12.163,12.392,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_3,11.449,12.070,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_4,10.706,14.178,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_5,11.923,11.525,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_6,11.340,13.286,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_7,12.992,13.167,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_8,12.783,12.285,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
19,drone_9,11.403,11.017,12.008,3.751,"16.778849743454217,4.115940791361308,1.1064354308921462;18.9749006495461,4.539091542768425,0.8331840346013886;14.733063251765259,8.824808345928398,1.1147062710659625;1.3523477192696727,3.3334795043409104,1.1463905657199676;5.014263711214313,2.928105907998381,2.0699318573627363;14.615136868871248,14.157381473726073,0.7098362112238046;8.073684030239026,8.825829130421035,1.3643973462652772;16.82722592339948,11.651171377270385,1.9013897113152045;9.65868901809744,13.020235301845844,0.7344641831016528;9.765026182820131,16.291419385623637,1.2909881040681055;9.256468787657553,9.663324675523306,1.0540070091774139;4.25668905617688,3.1196542057400425,2.2329045721088714;3.2353723111879917,3.4397349125236967,1.8181492786316875;7.085676608402888,1.487086029567156,1.1804855641943388;16.03888074049211,10.240788159824499,0.29401919868492776;3.944836403205332,12.117746963365486,0.8342945241673659;8.529997356210831,17.069730037847773,0.7255997892738292;11.489005389687462,18.79263869015105,0.2658316958872796;2.023236656411015,8.99885681446405,0.3981693027016318;4.577229798530766,18.111821783913623,1.6589478748443973"
