Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
5,drone_0,16.586,7.300,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_1,14.887,6.769,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_2,17.083,6.777,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_3,14.934,7.855,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_4,16.006,6.626,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_5,15.244,5.992,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_6,14.276,6.484,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_7,14.090,7.522,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_8,15.957,7.652,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
5,drone_9,14.156,5.955,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
6,drone_0,16.494,7.389,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
6,drone_1,14.749,6.824,2.685,6.438,"7.507166096254874,2.3740090944670587,1.2070316242781425;16.71400222619927,4.2509069967114534,1.198514730047132;9.687990458931555,18.575017187082572,0.6716928195533075;5.947155916386725,2.7582427526922393,0.3054468707546074;18.9497515356163,1.1128741370868025,0.32694968312539174;16.13558076543193,18.01651114191136,0.39814856368194307;7.963142039522904,19.167870717872866,0.7999180820512019;13.298961659912132,3.1575900244577304,2.352287873771328;0.8580479542883487,9.583274851478253,0.48596773706084717;3.061054099348713,17.57653694984155,0.3410926654349544;7.710595525233604,18.522751615518416,0.30767520630783185;13.320219981941458,10.736334647329759,0.4590103362823085;3.4887683591298417,18.558374542914127,0.4586231811514167;3.9343764963114713,14.247028192638895,1.0878411209647112;9.099864203881262,10.689061434421903,0.8779329886185057;0.5811920912818355,10.726274153021905,0.3886418265678786;7.298696995766929,8.09509126058346,0.9987887241443625;8.856646415183466,9.268312009834226,2.4700117456197646;2.419865204671117,12.101933003068675,0.32415639039036015;14.22977300981073,9.476196327541714,0.6710235543071044;17.09113649824838,17.258660556725882,1.7508776891720566;9.582330308978086,0.34261685587312807,0.283310322492063;8.14980080204889,7.249440582431989,1.0801941339290175;16.575183108948806,17.895181202234248,0.4581613767991617;8.30298998396942,7.925887242874882,0.34630329580973707;6.843409560759641,13.327147055827236,0.832186302014827;7.220625982760257,16.82590033535329,1.2013096231816633;17.760801654047324,14.15499469767902,0.43560454319239533;19.011770768056163,1.2511330839938328,0.2605060376758397;17.1620517157713,19.188541112123875,0.27254756712019085;13.749114847944027,14.329315596356478,2.0208176360870294;7.001395126288399,5.681047128718911,0.20777184168623977;11.906993347095188,17.13858076069026,0.39025379355938683;4.313650776566403,15.626759448747094,0.9408550423316204;10.296801881729648,11.67191991540898,1.1518465152548507;12.325057841412603,6.757668891438312,0.4180253008859991;6.212052693152401,15.900757970242445,0.8328615348859754;6.582121188698658,2.5870705143817885,0.48813428726358604;17.77753217089318,3.828908004688673,0.48550687203355325;13.31333461399473,9.503264534646208,0.43284927277811003;3.2230527597851646,2.146863498989533,1.2241931134148616;6.34863661836477,11.747956403038065,1.7695333664579327;12.805768459052294,11.273701759686473,1.2024746454874025;1.3012606981800687,13.341116633070294,0.6061685125790023;3.2741788294748844,12.417770308914555,1.7324843752194932"
