Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
37,drone_3,5.791,5.241,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
37,drone_4,6.121,7.329,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
37,drone_5,6.294,5.970,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
37,drone_6,6.480,6.506,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
37,drone_7,4.222,4.326,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
37,drone_8,4.517,5.127,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
37,drone_9,7.845,3.614,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_0,5.237,5.612,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_1,7.065,6.752,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_2,6.159,7.759,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_3,5.672,5.153,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_4,6.016,7.225,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_5,6.125,6.004,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_6,6.370,6.441,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_7,4.100,4.205,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
38,drone_8,4.395,5.005,1.716,1.127,"18.258196925613156,0.5840232676355532,0.34318559799154924;5.888304006756681,18.99555727314601,0.33652523930192674;15.9965251865345,16.923824147679074,1.0201644850189762;15.828703531980876,6.784851928198488,0.7261431739658352;1.0136140311849207,13.100491398232835,0.3650360160734082;15.401408109337446,5.18870556335164,0.7275154743060137;14.625872312919155,1.2053913754614123,0.33689222485551773;12.04241556173216,18.019216862562143,1.615495376503488;0.7195885395579951,15.10935808920918,0.4241952292863094;14.886557846512112,16.975194603921512,1.3526830342512877;17.56509443445165,10.630755086924154,1.2692078032192253;16.813215719438464,2.8230318036950974,0.859999650144802;13.085914096747972,1.370509175512562,0.287031519511951;2.290738705566424,16.63961177874019,0.4422909304706766;16.567372011838746,11.695798224634506,1.9942212573807312;11.02767952507416,13.66709880086976,1.228787863826669;6.309985285319248,3.911808275496459,1.0399945840567608;18.827873948308884,19.61745533242922,0.3138121171365427;4.311450697173052,18.754012256046906,0.25781073364543966;3.4157461622384817,18.78717720723438,0.3601747260841962;5.048446609770721,15.240387987145311,0.7000688769577557;15.446481720785268,2.5769331953962302,0.44131131807627716;3.0080339010478903,5.650993304120769,0.3188426071996438;10.619268955661164,3.282065784703801,1.3213767978830868;18.161621283742857,13.005005720472983,0.41738690706540726;5.3350340028239955,16.086412396310102,0.3601461524162631;12.211946145436118,5.276473509293718,0.26484289712881115;19.065150409867076,2.10472016688375,0.3784941095325053;1.5628225356989556,8.724049308532678,1.2495303780987685;14.896919662998972,5.629148740868679,1.9320751787614898;9.30715981225737,14.79659841944397,0.48406541936483694;12.306580476867452,17.990566103721928,0.6851416903782902"
