Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_8,7.3370,17.2802,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
2,drone_9,15.7373,15.5330,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_0,6.5344,17.1199,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_1,4.8224,11.2047,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_2,16.4552,5.1068,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_3,7.2682,17.8905,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_4,2.5454,11.4254,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_5,2.6757,9.0608,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_6,4.5009,12.4306,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_7,16.7117,6.4543,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_8,7.2503,17.3065,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
3,drone_9,15.7454,15.5604,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
4,drone_0,6.4376,17.1324,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
4,drone_1,4.7247,11.2466,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
4,drone_2,16.5165,5.0088,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
4,drone_3,7.1653,17.9279,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
4,drone_4,2.4700,11.4076,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
4,drone_5,2.5986,9.0389,10.1852,5.8965,"9.089,3.432,0.443;3.750,4.443,1.183;19.349,11.767,0.256;4.242,3.375,0.920;14.300,14.351,1.337;3.285,18.836,1.147;8.426,1.482,0.312;6.013,6.011,0.677;1.038,7.710,0.201;12.856,11.102,1.791;5.755,3.975,0.348;18.399,4.348,0.878;12.411,12.792,0.455;11.936,13.629,0.264;6.696,9.457,1.119;3.983,17.870,0.847;4.729,4.286,0.651;18.204,13.292,2.174;14.424,18.579,0.830;1.674,3.301,1.175;3.928,6.629,0.268;19.048,0.627,0.498;18.535,8.643,0.999;12.462,18.057,0.269;19.028,2.241,0.637;18.418,16.110,0.394;9.294,18.426,0.999;12.794,18.790,0.208;14.326,4.462,0.205;15.570,8.797,1.076;19.770,15.059,0.347;2.210,18.351,0.289;5.873,6.570,0.358;6.308,18.821,0.988;16.236,1.729,0.481;16.370,17.238,1.265;16.495,18.915,0.497;12.051,13.639,1.633;3.122,16.564,0.344;11.307,12.560,2.056;17.168,9.677,0.710;11.029,9.112,1.187;5.164,14.815,0.730;8.996,11.928,1.302;7.010,2.161,0.747;3.189,16.302,0.439;18.677,19.777,0.334;9.302,16.785,0.905;17.765,2.405,1.036;6.554,14.109,1.849;13.721,5.717,0.629;12.265,9.352,1.205;14.655,10.056,1.662;8.129,11.216,2.377;19.646,10.469,0.452;7.317,2.433,0.876;19.264,17.109,0.349;6.548,8.305,0.490;11.787,3.401,0.824"
