Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
27,drone_3,12.738,6.781,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
27,drone_4,11.319,5.530,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
27,drone_5,8.301,9.013,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
27,drone_6,1.839,5.131,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
27,drone_7,5.485,11.445,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
27,drone_9,7.667,9.451,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_0,10.540,5.815,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_1,9.773,6.161,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_2,11.246,7.730,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_3,12.586,6.911,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_4,11.253,5.689,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_5,8.425,8.893,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_6,1.825,5.174,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_7,5.600,11.281,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
28,drone_9,7.815,9.363,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
29,drone_0,10.508,5.959,9.927,7.516,"7.410087786514316,4.5436358624118895,1.337809147753433;1.3638032491318226,18.073697837158587,1.196879049992817;11.948950892192544,14.485178003028752,1.3950173467834706;9.863159843697558,10.149752430564075,0.46682699990822274;6.634409863862384,2.612500162605581,0.22168566734481876;14.407466588558357,16.630833242898454,0.26878980739863423;12.755734259174545,12.865052394800026,2.1967284120032815;7.370589445271049,14.12825767254952,1.788305997951014;6.300294710581014,9.074636470075244,0.24321985952067973;2.4964649846804754,6.697858833345041,0.470847099086593;11.355613525683959,9.972537428862466,0.43230593930227346;10.543115161144184,15.080116928061155,0.48698658502527326;15.05162555801186,10.787357146128958,0.6013318916850608;2.3268517520916463,11.283462026486408,1.0415325000212716;8.375666321872501,17.627764614061874,1.3046361254689904;16.971876064372942,10.152754287500457,1.9676323360364814;10.480714663713766,15.07257968553986,0.4431552919806111;4.656885015282641,6.805326844500639,1.1256533776751332;5.686177439244061,6.643502597309172,1.17052582528921;4.489377761464795,7.276434190630391,0.42450246927472446;15.878821231100439,12.539177841561388,2.203621329717132;18.23525483772546,5.1798075241932064,1.7046038788330256;13.639902962529833,11.069658181242742,1.2939666736247832;7.216077545824965,12.29094088479004,1.0532348228213824;7.090299033344899,17.80349299106452,0.6766089223919655;5.86928548035687,1.4977469078930892,1.399379481191067;10.626112770561548,17.422525913945293,0.6172953740091474;16.02761317721474,17.38967407569543,1.1775927685003795;1.2376662716314664,12.415381674541218,0.35376510992541044;10.805665135574401,17.545659328569542,0.42992511631006136;5.136188876724222,5.3977271691081095,0.6459170011537407;2.2548049092406335,10.908960736893068,1.8498470910130427;5.102839321785709,6.6043227516594385,2.2758207778547614"
