Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
211,drone_7,9.748,11.607,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
211,drone_9,10.983,11.472,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
212,drone_2,13.778,6.296,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
212,drone_7,9.806,11.629,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
212,drone_9,11.059,11.470,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
213,drone_2,13.906,6.198,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
213,drone_7,9.764,11.751,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
213,drone_9,11.035,11.369,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
214,drone_2,13.935,6.200,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
214,drone_7,9.822,11.773,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
214,drone_9,11.112,11.367,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
215,drone_2,13.863,6.302,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
215,drone_7,9.780,11.695,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
215,drone_9,11.088,11.265,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
216,drone_2,13.734,6.454,4.739,8.731,"6.224098116569285,18.12000434460334,0.23288447187398184;12.377932301651573,19.376036004892146,0.42992868624074726;13.319840963710107,14.312200012801059,0.8917624696927826;12.157744345687691,3.40055739991796,0.45753024561975225;6.543496554246168,1.507258798521833,0.3070518213063918;18.11370034409121,11.656445602603702,0.283361210725253;7.199209475573865,10.456353944833761,0.30684035139098886;8.514618857009655,16.789691498257426,1.9195466879664416;7.586707397212625,6.8370612636972306,0.24390870653345;12.610259608710514,16.570923318225905,0.6229526448062891;1.4804620305330487,10.677532789318992,0.2913205485175857;12.713586129471935,5.675329618905569,0.2944989843024935;8.40761509658368,12.528516832310295,0.7229079747348995;17.153738958466512,1.6379406840736648,1.2186348823780597;16.25488128122833,13.42403213864011,0.32766079384322166;19.282185976195965,0.47079108443642304,0.2529829007257994;10.858984804280755,3.8853800914497736,1.837692944363857;12.554076054887672,8.159726133918163,1.2636786567435698;7.998311952674364,11.143968313806283,0.9173054933693998;3.2951030312418066,3.701972302023534,2.087901631204958;11.479792366861084,7.230500348943196,0.2925401161672287;18.27492694770672,9.54099644284518,0.32245579197149626;11.237409040327458,9.139930248863209,0.25295414362508467;18.214547927668786,1.7431453818852798,1.0060694936007228;9.772578697281416,18.19932178781803,1.3700642103348717;7.7016423417416675,3.3481404589164225,0.9189321017420959;11.895414080984688,3.303587215091125,2.009252887656037;9.911891110412682,7.62879158262506,1.85836691715647;5.727997884075145,12.413520222593318,0.4066174875562558;15.274303963404488,14.73275639455951,0.603628860946091;18.695048484975068,1.884067558009952,0.3353158390823505;10.558492716399064,13.287121060328673,0.4260611599402572;13.33752280580202,16.043953669752653,0.9926023387346394;9.357898770515517,8.403869151930094,2.468920552005834"
