Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
550,drone_5,14.624,13.591,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
550,drone_9,15.586,13.716,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
551,drone_4,15.058,14.313,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
551,drone_5,14.591,13.447,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
551,drone_9,15.630,13.579,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
552,drone_4,15.057,14.322,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
552,drone_5,14.459,13.402,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
552,drone_9,15.573,13.542,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
553,drone_4,14.956,14.230,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
553,drone_5,14.426,13.458,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
553,drone_9,15.417,13.605,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
554,drone_4,14.956,14.239,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
554,drone_5,14.493,13.413,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
554,drone_9,15.360,13.568,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
555,drone_4,15.055,14.348,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
555,drone_5,14.460,13.469,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
555,drone_9,15.249,13.470,2.518,11.080,"9.66436985599434,10.78100994888319,0.42752829455090413;14.49466634164549,5.769207665765619,0.4962288659254554;8.051117107305176,1.8084766171272848,0.455694574957846;17.22637962552629,15.700081410250203,0.8894228184535476;15.9826243619056,3.4770659139593993,0.4749882482932394;17.396266970430545,13.514563765709655,0.2233833890579653;7.26895414125338,16.848227480174366,1.5972654174059562;14.344329359208665,12.787963630078544,0.2663593336496978;18.147985813989695,11.335366258814265,0.9686233387669898;4.5454553978167205,16.56814994582284,2.425215112533973;6.866635218995166,10.009252921639403,1.0269320583437025;3.739073790633274,1.6817397690653801,0.35984781333975313;11.934318325896063,14.688427135873603,2.4828164379187103;11.55996030628632,3.7293240419782427,0.47097727632700653;3.9135588559629584,12.897807563257338,0.23544698986652446;15.791116944225868,11.826764654435754,1.0884012478606486;2.8490024815779416,4.660261983168693,2.0017086856161197;14.060820525352925,16.937069722857345,0.6726994262002282;4.701563754989137,3.262977942531773,0.38763336224185296;10.30672021685679,2.7181805716412875,2.2667637677948584;14.822384212381388,7.9494266711980845,2.2897649862436147;8.477017406964048,6.14625451008242,1.055636482845551;5.396792930300721,16.782867774753974,1.2710346424635834;3.0257476371192094,4.872847469729388,0.4549418892345578;9.559258334805076,1.8774624485510252,0.7508503288643797;8.453819721598482,18.093354136406255,0.7320203489830419;14.35360259017893,7.941487515396313,1.0173264849009547;5.646950244862925,3.5474678409860507,1.053628725933406;6.733936443541918,1.3364496692337968,0.35541702675465214;7.0566630600480185,7.056207802007743,2.3276331270725605"
