Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
29,drone_4,7.962,5.860,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
29,drone_5,9.224,2.872,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
29,drone_6,9.872,8.612,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
29,drone_7,7.864,2.725,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
29,drone_8,9.005,3.709,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
29,drone_9,8.526,7.329,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
30,drone_0,6.313,6.370,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
30,drone_1,8.039,6.632,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
30,drone_2,8.142,7.685,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
30,drone_3,8.002,2.088,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
30,drone_4,8.086,5.979,10.755,9.783,"19.402357107084192,4.219707202030267,0.21004212735494807;9.72775747515941,13.425673018823657,0.4397217724950946;17.3182708295388,7.320374709479023,1.8401550060604333;9.631029120738445,17.76961881970935,2.104465006942135;10.46571835541811,13.59244039319261,1.6974484164532928;13.85838249126771,8.193772695976225,0.6101155983763441;12.758154720018547,5.6843912723095364,0.2892544605172873;17.468697584813647,3.808286745012457,1.012192920483265;5.491733964842685,4.048164751447913,0.4005334585094621;3.364488554796595,10.801461345952491,2.1079889606517823;2.358221206533479,6.452898878948342,1.3373654968973503;1.2412717298784477,16.496936149809972,0.7730700030028729;14.880753534027905,5.675560708481403,1.554722941039209;13.691339336127216,15.751074617210422,0.9625092030589074;6.517344647877329,8.548721922445978,1.1859583139552905;5.194356822827559,7.372250147602081,0.468790664241383;15.154671531878039,9.078351765685468,0.39467921940951;17.466557140521935,15.677404108456518,0.3832331022959278;5.013728320644485,12.909506365307585,0.2758563143793642;11.46635147671644,7.378623675911123,0.3371523888643375;16.674445175672183,11.164496995997244,0.7188249582589266;17.41243813684905,14.977275510274602,1.2195163431234648;4.995844306938471,17.87070584246894,0.25286888848520833;13.100757409003496,7.471572259018015,0.3311788708971278;16.85443449943531,13.179806008238362,0.49496501269551896;18.52187879296924,12.940943380218565,0.45793293346873926;6.200789642409675,9.15587063257717,1.315333603878203;13.392156275024377,4.66009587240705,0.4781269167012685;13.472843760826988,9.456393260981892,0.44874994318624706;7.459302186184808,19.029012422457775,0.8178453303801136;11.516794383692687,19.5071349507129,0.33566835627695824;10.994649845782366,2.1787230207545196,0.2861942570383742;18.065031360457713,8.391443460313624,0.6666980665509941;17.952641351769035,14.581725695787469,0.2906465526790831;12.7118519415237,4.413209528002777,0.4987391866897625;6.4735176649033,3.052121469813676,0.6702023987211626;14.624798946265711,10.471427804603136,0.4974893024560898;2.088260945792369,16.513236746439485,1.2957820589431557;17.716887754528805,7.64008430314849,0.41312983080583887;15.20058204882919,16.20090851269237,2.006754864391943;10.910739403469895,14.422196354139434,1.3403858496056285;7.916583861586222,11.864405373681699,0.23593793693182563;8.596525913316821,5.029130437854521,0.2301921012153622;1.5765810267113087,11.870185932455252,1.0257228985699505;2.4153666611775875,4.109248645686717,1.7614786430062686;13.221086013290655,16.302155948137468,0.2920531917274934;0.9217931748022569,8.659766881046094,0.20333976108089488;5.710897921357526,3.567217476595276,0.6737373252050234;8.324288814663065,15.81891392485971,2.467143074471629"
